Training Loss	Validation Loss	Test Loss	
 5.9748e+00	 5.4980e+00	 5.4389e+00	
 5.3050e+00	 5.1953e+00	 5.1380e+00	
 5.0416e+00	 5.0471e+00	 4.9927e+00	
 4.8617e+00	 4.9392e+00	 4.8851e+00	
 4.7273e+00	 4.8639e+00	 4.8102e+00	
 4.5951e+00	 4.8105e+00	 4.7565e+00	
 4.5240e+00	 4.7862e+00	 4.7304e+00	
 4.4911e+00	 4.7739e+00	 4.7189e+00	
 4.4746e+00	 4.7679e+00	 4.7135e+00	
 4.4669e+00	 4.7633e+00	 4.7097e+00	
 4.4622e+00	 4.7612e+00	 4.7077e+00	
 4.4599e+00	 4.7603e+00	 4.7066e+00	
 4.4577e+00	 4.7598e+00	 4.7061e+00	
 4.4580e+00	 4.7596e+00	 4.7058e+00	
 4.4564e+00	 4.7594e+00	 4.7057e+00	
 4.4572e+00	 4.7594e+00	 4.7057e+00	
 4.4559e+00	 4.7593e+00	 4.7056e+00	
 4.4570e+00	 4.7593e+00	 4.7056e+00	
 4.4569e+00	 4.7593e+00	 4.7056e+00	
 4.4579e+00	 4.7593e+00	 4.7056e+00	
 4.4564e+00	 4.7593e+00	 4.7056e+00	
 4.4562e+00	 4.7593e+00	 4.7056e+00	
 4.4581e+00	 4.7593e+00	 4.7056e+00	
 4.4576e+00	 4.7593e+00	 4.7056e+00	
 4.4566e+00	 4.7593e+00	 4.7056e+00	
